target_word_unique,avgRT_related,avgRT_unrelated,avgZ_RT_related,avgZ_RT_unrelated,seRT_related,seRT_unrelated,seZ_RT_related,seZ_RT_unrelated,target_answeredN_related,target_answeredN_unrelated,target_timeoutN_related,target_timeoutN_unrelated,target_correct_keep_related,target_correct_keep_unrelated,target_answeredN_keep_related,target_answeredN_keep_unrelated,target_timeoutN_keep_related,target_timeoutN_keep_unrelated,target_prop_correct_keep_related,target_prop_correct_keep_unrelated,cue_answeredN_related,cue_answeredN_unrelated,cue_timeoutN_related,cue_timeoutN_unrelated,cue_correct_keep_related,cue_correct_keep_unrelated,cue_answeredN_keep_related,cue_answeredN_keep_unrelated,cue_timeoutN_keep_related,cue_timeoutN_keep_unrelated,cue_prop_correct_keep_related,cue_prop_correct_keep_unrelated,target_sample_keep_related,target_sample_keep_unrelated,avgRT_prime,avgZ_prime,language,en_cue,en_target,pl_cue,pl_target,pl_word_combo_related,pl_word_combo_unrelated,pl_cue_word_related,pl_cue_word_unrelated
autostrada,644.131499974035,665.07112697422,-0.377894273507791,-0.221380268725505,20.3657831095146,20.5667543104044,0.0635672287144552,0.0657524401606441,72,69,1,1,66,63,66,64,0,0,1,0.984375,72,69,1,1,66,64,66,64,0,0,1,1,66,63,20.9396270001856,0.156514004782285,pl,road,highway,droga,autostrada,drogaautostrada,pająkautostrada,droga,pająk
babcia,488.436043476425,595.872323238996,-0.881449527198513,-0.508945833032003,11.7113306847094,25.0393519374804,0.0476670884331559,0.0811872178147699,74,112,0,1,69,99,70,100,0,0,0.985714285714286,0.99,74,111,0,2,69,99,70,100,0,0,0.985714285714286,0.99,69,99,107.436279762571,0.37250369416651,pl,grandfather,grandmother,dziadek,babcia,dziadekbabcia,atrakcyjnybabcia,dziadek,atrakcyjny
badacz,559.214358973348,626.2670980293,-0.684920591163994,-0.427329318669153,12.8719108074807,23.3757593145241,0.0492763278698324,0.07606403238558,123,111,3,2,117,102,117,103,0,0,1,0.990291262135922,123,111,3,2,113,101,117,103,0,0,0.965811965811966,0.980582524271845,117,102,67.0527390559523,0.257591272494841,pl,analyst,investigator,analityk,badacz,analitykbadacz,spódnicabadacz,analityk,spódnica
badanie,557.018931378392,606.687437501658,-0.637398196676884,-0.549648087837583,13.3180597945819,21.4380622879742,0.0422974593767146,0.0545073326462589,107,87,1,1,102,80,103,81,1,0,0.990291262135922,0.987654320987654,107,87,1,1,101,78,103,81,1,0,0.980582524271845,0.962962962962963,102,80,49.6685061232668,0.0877501088393005,pl,research,study,eksperyment,badanie,eksperymentbadanie,cieńbadanie,eksperyment,cień
bar,511.299315779232,597.534298561104,-0.763841801979883,-0.580953766751212,14.8005074954737,16.6210928069895,0.0474367368945498,0.0605490462326553,83,73,1,2,76,67,76,67,0,2,1,1,83,74,1,1,73,68,76,68,0,1,0.960526315789474,1,76,67,86.234982781872,0.182888035228671,pl,club,bar,klub,bar,klubbar,błyskawicabar,klub,błyskawica
bardzo,529.11082501343,530.408745271611,-0.716725560883915,-0.735759171865434,18.3419894599744,11.7760395538975,0.0638838126325036,0.0418560014927471,84,110,0,2,80,107,80,107,0,0,1,1,84,109,0,3,78,105,80,106,0,1,0.975,0.990566037735849,80,106,1.29792025818074,-0.0190336109815189,pl,extremely,very,skrajnie,bardzo,skrajniebardzo,hałasbardzo,skrajnie,hałas
baseball,814.33633332697,950.809893624737,0.391417427753816,1.07281705466086,46.7975876667028,50.8551893761661,0.16418943325128,0.206496036790119,69,67,0,4,54,47,66,62,0,3,0.818181818181818,0.758064516129032,69,70,0,1,64,64,66,65,0,0,0.96969696969697,0.984615384615385,54,47,136.473560297767,0.681399626907044,pl,stadium,baseball,stadion,baseball,stadionbaseball,aniołbaseball,stadion,anioł
batalion,730.266535721428,722.663175932506,-0.0512655694910002,-0.0833956800040249,34.4586581278667,18.6981635853596,0.125153906849369,0.0663139151586997,61,128,0,2,56,108,58,114,0,1,0.96551724137931,0.947368421052632,61,129,0,1,40,115,58,115,0,0,0.689655172413793,1,56,108,-7.60335978892215,-0.0321301105130247,pl,regiment,battalion,pułk,batalion,pułkbatalion,prawobatalion,pułk,prawo
bawełna,605.824532135471,570.927714290788,-0.570308411610268,-0.515760931169955,20.0723362854726,18.6538516579547,0.0670466902459694,0.104324405764246,117,71,1,0,109,63,110,63,1,0,0.990909090909091,1,117,71,1,0,102,63,110,63,1,0,0.927272727272727,1,109,63,-34.8968178446837,0.0545474804403134,pl,silk,cotton,jedwab,bawełna,jedwabbawełna,wyjątkowybawełna,jedwab,wyjątkowy
bezpieczeństwo,650.757813334653,652.557523079471,-0.288999018215765,-0.326639547152682,29.2341423221402,24.3081211142835,0.0926829918945027,0.0780058285708462,78,75,2,0,75,65,75,66,1,0,1,0.984848484848485,78,75,2,0,73,61,75,66,1,0,0.973333333333333,0.924242424242424,75,65,1.79970974481796,-0.0376405289369168,pl,security,safety,ochrona,bezpieczeństwo,ochronabezpieczeństwo,omegabezpieczeństwo,ochrona,omega
