target_word_unique,avgRT_related,avgRT_unrelated,avgZ_RT_related,avgZ_RT_unrelated,seRT_related,seRT_unrelated,seZ_RT_related,seZ_RT_unrelated,target_answeredN_related,target_answeredN_unrelated,target_timeoutN_related,target_timeoutN_unrelated,target_correct_keep_related,target_correct_keep_unrelated,target_answeredN_keep_related,target_answeredN_keep_unrelated,target_timeoutN_keep_related,target_timeoutN_keep_unrelated,target_prop_correct_keep_related,target_prop_correct_keep_unrelated,cue_answeredN_related,cue_answeredN_unrelated,cue_timeoutN_related,cue_timeoutN_unrelated,cue_correct_keep_related,cue_correct_keep_unrelated,cue_answeredN_keep_related,cue_answeredN_keep_unrelated,cue_timeoutN_keep_related,cue_timeoutN_keep_unrelated,cue_prop_correct_keep_related,cue_prop_correct_keep_unrelated,target_sample_keep_related,target_sample_keep_unrelated,avgRT_prime,avgZ_prime,language,en_cue,en_target,sk_cue,sk_target,sk_word_combo,unrelated_sk_cue
vyšetrovateľ,614.400839998049,740.255216214982,-0.236308077972892,-0.000920571799144521,49.2316495462463,50.3546893131973,0.173975202060929,0.119901741784901,33,39,6,6,25,37,25,37,0,0,1,1,33,38,6,7,23,37,25,37,0,0,0.92,1,25,37,125.854376216933,0.235387506173748,sk,analyst,investigator,analytik,vyšetrovateľ,analytikvyšetrovateľ,sukňa
vyšetrovať,652.776428567625,650.992733328462,-0.398828469688737,-0.333067194566878,42.722007874776,35.545966686411,0.140728621622678,0.0969028408335642,38,30,4,3,35,30,35,30,0,0,1,1,38,30,4,3,35,29,35,30,0,0,1,0.966666666666667,35,30,-1.7836952391624,0.0657612751218592,sk,examine,investigate,preskúmať,vyšetrovať,preskúmaťvyšetrovať,továreň
vyšší,515.613769297481,665.830085102927,-0.689944315383268,-0.21959375397012,22.6370343052592,51.0579528016776,0.0862843973869838,0.162555755166485,32,50,7,9,26,47,26,47,0,0,1,1,33,51,6,8,26,45,26,47,0,0,1,0.957446808510638,26,47,150.216315805446,0.470350561413147,sk,lower,upper,nižší,vyšší,nižšívyšší,piknik
vzdelanie,617.665312482764,589.018720002152,-0.495979059221768,-0.482491869578779,40.3303883513895,25.2934911485338,0.103104534643909,0.0780354740664257,36,28,5,5,32,25,32,25,0,0,1,1,36,28,5,5,32,24,32,25,0,0,1,0.96,32,25,-28.6465924806126,0.0134871896429895,sk,health,education,zdravie,vzdelanie,zdravievzdelanie,roh
vzrušený,654.751645834393,689.347478270779,-0.221593695408041,-0.186292375980599,25.9863666101045,41.2798494389646,0.103783901853375,0.119190976295949,50,30,8,7,48,23,49,23,1,0,0.979591836734694,1,51,28,7,9,50,23,50,23,0,0,1,1,48,23,34.5958324363864,0.0353013194274422,sk,proud,excited,hrdý,vzrušený,hrdývzrušený,tabletka
vášeň,579.085071451851,531.939499998254,-0.532848561973627,-0.740208117136406,46.0020860220013,20.2697136134499,0.137296072574839,0.0651672496260814,30,43,5,5,28,42,28,42,0,0,1,1,30,43,5,5,27,41,28,42,0,0,0.964285714285714,0.976190476190476,28,42,-47.1455714535973,-0.20735955516278,sk,enthusiasm,passion,nadšenie,vášeň,nadšenievášeň,čašník
väzenie,525.012521739416,588.833523818867,-0.739152843840413,-0.440822908842755,17.6782109160385,35.737741142098,0.0772099617911044,0.103532224554401,26,23,1,4,23,21,23,21,0,0,1,1,26,25,1,2,17,21,23,21,0,0,0.739130434782609,1,23,21,63.8210020794512,0.298329934997658,sk,cell,prison,cela,väzenie,celaväzenie,príprava
väzeň,606.691250020619,600.283749991676,-0.519106729057192,-0.517740092867238,34.4431595245686,26.2062553326614,0.113040025856164,0.0680787082008212,28,50,3,7,24,44,24,45,0,0,1,0.977777777777778,29,50,2,7,24,42,24,45,0,0,1,0.933333333333333,24,44,-6.40750002894231,0.00136663618995414,sk,hostage,prisoner,rukojemník,väzeň,rukojemníkväzeň,klebeta
vízia,639.623090927862,639.106428572224,-0.350425624556476,-0.333338417860307,34.8589699643276,46.1166221566198,0.0973035484014238,0.138927732291744,29,32,3,3,22,28,24,29,0,0,0.916666666666667,0.96551724137931,30,31,2,4,22,26,24,28,0,1,0.916666666666667,0.928571428571429,22,28,-0.516662355638118,0.0170872066961683,sk,revelation,vision,zjavenie,vízia,zjavenievízia,slovo
víťaz,534.956217377178,544.292304363119,-0.555539725963479,-0.665508730956253,28.1276871760707,21.2336267569711,0.121009456651017,0.05245002065875,25,28,6,6,23,23,23,23,0,0,1,1,25,26,6,8,21,22,23,23,0,0,0.91304347826087,0.956521739130435,23,23,9.33608698594173,-0.109969004992773,sk,loser,winner,porazený,víťaz,porazenývíťaz,mäkký
