target_word_unique,avgRT_related,avgRT_unrelated,avgZ_RT_related,avgZ_RT_unrelated,seRT_related,seRT_unrelated,seZ_RT_related,seZ_RT_unrelated,target_answeredN_related,target_answeredN_unrelated,target_timeoutN_related,target_timeoutN_unrelated,target_correct_keep_related,target_correct_keep_unrelated,target_answeredN_keep_related,target_answeredN_keep_unrelated,target_timeoutN_keep_related,target_timeoutN_keep_unrelated,target_prop_correct_keep_related,target_prop_correct_keep_unrelated,cue_answeredN_related,cue_answeredN_unrelated,cue_timeoutN_related,cue_timeoutN_unrelated,cue_correct_keep_related,cue_correct_keep_unrelated,cue_answeredN_keep_related,cue_answeredN_keep_unrelated,cue_timeoutN_keep_related,cue_timeoutN_keep_unrelated,cue_prop_correct_keep_related,cue_prop_correct_keep_unrelated,target_sample_keep_related,target_sample_keep_unrelated,avgRT_prime,avgZ_prime,language,en_cue,en_target,he_cue,he_target,he_word_combo
איידס,699.326588251135,632.797124966822,0.451639421390362,0.117961363564559,54.0094798283662,47.1550376573429,0.224408276622448,0.213399839077108,20,24,2,2,17,17,17,21,0,1,1,0.80952380952381,21,25,1,1,6,19,17,22,0,0,0.352941176470588,0.863636363636364,17,16,-66.5294632843122,-0.333678057825803,he,aids,hiv,חוֹלִי,איידס,חוֹלִיאיידס
איכות,409.709800023551,436.454266640439,-0.763853044258218,-0.66539206973733,23.2955273914085,21.2231065478981,0.191118596226901,0.106646543489111,8,19,0,0,5,15,5,16,0,0,1,0.9375,8,19,0,0,5,15,5,16,0,0,1,0.9375,5,15,26.7444666168884,0.0984609745208879,he,quantity,quality,כמות,איכות,כמותאיכות
אימפריה,481.235833409832,506.078942859495,-0.368473868917736,-0.469107996746366,20.4283886539883,23.3860374774664,0.116233525559834,0.080597610564383,13,40,0,5,12,35,12,36,0,0,1,0.972222222222222,13,41,0,4,10,35,12,36,0,0,0.833333333333333,0.972222222222222,12,35,24.8431094496631,-0.10063412782863,he,dynasty,empire,שושלת,אימפריה,שושלתאימפריה
אינטואיציה,532.031666699552,645.495909127525,-0.32064621178731,0.189054865265673,34.0262824980091,33.2243844261132,0.145278058373299,0.159381316270568,20,39,1,1,15,33,15,33,0,0,1,1,20,39,1,1,11,32,15,33,0,0,0.733333333333333,0.96969696969697,15,33,113.464242427973,0.509701077052983,he,instinct,intuition,אינסטינקט,אינטואיציה,אינסטינקטאינטואיציה
אינטימי,476.085487795781,491.949090896859,-0.615920079229445,-0.455781754821349,18.6051552927555,16.9131900553463,0.0584351151690448,0.0798240971711047,47,38,3,5,41,34,41,35,0,0,1,0.971428571428571,46,38,4,5,40,32,41,34,0,1,0.975609756097561,0.941176470588235,41,33,15.8636031010772,0.160138324408096,he,personal,intimate,אישי,אינטימי,אישיאינטימי
אינטליגנטי,583.300000000321,538.651874934396,-0.217678347188148,-0.346817800459823,32.7919109036699,23.9003872603558,0.091709727294823,0.100735947874691,20,12,1,1,19,8,19,8,0,0,1,1,20,11,1,2,19,8,19,8,0,0,1,1,19,8,-44.6481250659248,-0.129139453271675,he,smart,intelligent,חכם,אינטליגנטי,חכםאינטליגנטי
אירוני,601.672555562186,516.20362500667,-0.172531967532303,-0.486772082115901,45.2361503645431,59.5599716841172,0.16155646168836,0.246867612198893,18,9,1,1,18,8,18,8,0,1,1,1,19,9,0,1,17,6,18,8,0,1,0.944444444444444,0.75,18,8,-85.4689305555162,-0.314240114583599,he,irony,ironic,אירוניה,אירוני,אירוניהאירוני
אירוע,478.230000038142,439.434600007162,-0.702957082934553,-0.593034526718792,46.8797723793476,34.8423076999976,0.186709071624219,0.233753171361419,6,8,0,1,5,5,5,6,0,0,1,0.833333333333333,6,8,0,1,5,5,5,6,0,0,1,0.833333333333333,5,5,-38.7954000309808,0.109922556215761,he,phenomenon,event,תופעה,אירוע,תופעהאירוע
אישה,442.15719995352,472.791428562919,-0.689922023865823,-0.508589292310579,43.5838754492142,28.4517269198961,0.15078604318061,0.102499566677018,6,9,1,0,5,7,5,7,0,0,1,1,6,9,1,0,5,6,5,7,0,0,1,0.857142857142857,5,7,30.6342286093994,0.181332731555244,he,husband,wife,בעל,אישה,בעלאישה
אישור,432.598863651427,489.739031251304,-0.721836672569554,-0.505841457279949,20.6768685385468,17.0806538289579,0.109551907386371,0.0979743009355701,24,39,1,2,22,32,22,34,0,0,1,0.941176470588235,24,39,1,2,20,34,22,34,0,0,0.909090909090909,1,22,32,57.1401675998775,0.215995215289606,he,check,verify,בדיקה,אישור,בדיקהאישור
