target_word_unique,avgRT_related,avgRT_unrelated,avgZ_RT_related,avgZ_RT_unrelated,seRT_related,seRT_unrelated,seZ_RT_related,seZ_RT_unrelated,target_answeredN_related,target_answeredN_unrelated,target_timeoutN_related,target_timeoutN_unrelated,target_correct_keep_related,target_correct_keep_unrelated,target_answeredN_keep_related,target_answeredN_keep_unrelated,target_timeoutN_keep_related,target_timeoutN_keep_unrelated,target_prop_correct_keep_related,target_prop_correct_keep_unrelated,cue_answeredN_related,cue_answeredN_unrelated,cue_timeoutN_related,cue_timeoutN_unrelated,cue_correct_keep_related,cue_correct_keep_unrelated,cue_answeredN_keep_related,cue_answeredN_keep_unrelated,cue_timeoutN_keep_related,cue_timeoutN_keep_unrelated,cue_prop_correct_keep_related,cue_prop_correct_keep_unrelated,target_sample_keep_related,target_sample_keep_unrelated,avgRT_prime,avgZ_prime,language,en_cue,en_target,th_cue,th_target,th_word_combo,unrelated_th_cue
กัปตัน,643.101000001712,596.499999904656,-0.392876063340915,-0.176838076843124,43.201921219617,,0.239860606118004,,3,1,0,0,3,1,3,1,0,0,1,1,3,1,0,0,3,1,3,1,0,0,1,1,3,1,-46.601000097056,0.21603798649779,th,commander,captain,ผู้บัญชาการ,กัปตัน,ผู้บัญชาการกัปตัน,ลำคอ
การกระทำ,760.26975000219,591.391000055659,-0.0503158420606384,-0.490209855660864,240.176733619418,40.4733000590373,0.685595070821648,0.125097661923416,4,3,2,0,4,3,4,3,0,0,1,1,4,3,2,0,4,3,4,3,0,0,1,1,4,3,-168.878749946531,-0.439894013600226,th,gesture,act,ท่าทาง,การกระทำ,ท่าทางการกระทำ,ถนน
การกลายพันธุ์,774.46949998808,731.554666666663,0.137688289858427,0.411493495750422,107.524893702704,73.9982915238213,0.373020360835666,0.496452741067565,4,3,0,1,4,3,4,3,0,0,1,1,4,3,0,1,4,3,4,3,0,0,1,1,4,3,-42.9148333214172,0.273805205891995,th,evolution,mutation,วิวัฒนาการ,การกลายพันธุ์,วิวัฒนาการการกลายพันธุ์,กังวล
การกล่าวหา,513.676999952353,682.901499988075,-0.392182326371867,-0.42924014449217,144.722999952326,77.6335000118995,0.570588366789734,0.205909781044064,2,2,0,1,2,2,2,2,0,0,1,1,2,2,0,1,2,2,2,2,0,0,1,1,2,2,169.224500035721,-0.0370578181203032,th,complaint,accusation,การร้องเรียน,การกล่าวหา,การร้องเรียนการกล่าวหา,ปลอดภัย
การขาย,459.964000095361,739.747142845283,-0.822109974235856,0.0703622157065674,60.7183274770779,111.825906307614,0.144940117124415,0.428604012776545,3,7,0,1,3,7,3,7,0,0,1,1,3,7,0,1,3,7,3,7,0,0,1,1,3,7,279.783142749922,0.892472189942423,th,auction,sale,การประมูล,การขาย,การประมูลการขาย,สถานการณ์
การคุมขัง,462.982499969803,703.83175000298,-0.827008780603113,-0.0499723287464956,19.898111523246,211.917396899473,0.0772941873285676,0.770655527787627,4,4,0,2,4,4,4,4,0,0,1,1,4,4,0,2,4,4,4,4,0,0,1,1,4,4,240.849250033177,0.777036451856618,th,penalty,imprisonment,การลงโทษ,การคุมขัง,การลงโทษการคุมขัง,รถถัง
การฆาตกรรม,641.922666682583,621.273999987665,-0.260389484070925,-0.258998862174514,69.2047187335781,116.127035821723,0.254311344445151,0.226558673277555,9,4,2,0,9,4,9,4,0,0,1,1,9,4,2,0,9,4,9,4,0,0,1,1,9,4,-20.6486666949183,0.00139062189641104,th,suicide,murder,การฆ่าตัวตาย,การฆาตกรรม,การฆ่าตัวตายการฆาตกรรม,น่าประทับใจ
การจัดหาเงินทุน,925.796000059607,772.332999942801,0.65930909318458,0.402135203242722,157.934973334373,114.051949546428,0.553874666151352,0.387527412918702,4,5,2,1,4,5,4,5,0,0,1,1,4,5,2,1,4,5,4,5,0,0,1,1,4,5,-153.463000116806,-0.257173889941859,th,financially,financing,ทางการเงิน,การจัดหาเงินทุน,ทางการเงินการจัดหาเงินทุน,ทะเลทราย
การจับปลา,513.994250000054,551.401500048407,-0.779536933444238,-0.376640240226156,29.5155314435598,32.497499953082,0.134805338598765,0.26252098486118,4,2,1,0,4,2,4,2,0,0,1,1,4,2,1,0,4,2,4,2,0,0,1,1,4,2,37.4072500483527,0.402896693218082,th,hunting,fishing,การล่าสัตว์,การจับปลา,การล่าสัตว์การจับปลา,เงียบ
การฉีดยา,523.08450000648,621.475666643479,-0.642825549918611,-0.496052599376419,46.8948616702441,32.7809551909831,0.188973949652207,0.145754230616911,4,6,0,0,4,6,4,6,0,0,1,1,4,6,0,0,4,5,4,6,0,0,1,0.833333333333333,4,6,98.3911666369994,0.146772950542192,th,dose,injection,ปริมาณยา,การฉีดยา,ปริมาณยาการฉีดยา,บางครั้ง
