target_word_unique,avgRT_related,avgRT_unrelated,avgZ_RT_related,avgZ_RT_unrelated,seRT_related,seRT_unrelated,seZ_RT_related,seZ_RT_unrelated,target_answeredN_related,target_answeredN_unrelated,target_timeoutN_related,target_timeoutN_unrelated,target_correct_keep_related,target_correct_keep_unrelated,target_answeredN_keep_related,target_answeredN_keep_unrelated,target_timeoutN_keep_related,target_timeoutN_keep_unrelated,target_prop_correct_keep_related,target_prop_correct_keep_unrelated,cue_answeredN_related,cue_answeredN_unrelated,cue_timeoutN_related,cue_timeoutN_unrelated,cue_correct_keep_related,cue_correct_keep_unrelated,cue_answeredN_keep_related,cue_answeredN_keep_unrelated,cue_timeoutN_keep_related,cue_timeoutN_keep_unrelated,cue_prop_correct_keep_related,cue_prop_correct_keep_unrelated,target_sample_keep_related,target_sample_keep_unrelated,avgRT_prime,avgZ_prime,language,en_cue,en_target,fa_cue,fa_target,fa_word_combo,unrelated_fa_cue
آشغال,555.824294103111,768.328000022353,-0.560682080387987,0.443440135053737,43.0246944244127,131.493088320929,0.153822271783221,0.700144593757186,17,10,0,0,17,8,17,9,0,0,1,0.888888888888889,17,10,0,0,16,8,17,9,0,0,0.941176470588235,0.888888888888889,17,8,212.503705919243,1.00412221544172,fa,trash,garbage,زباله,آشغال,زبالهآشغال,فرود
آفتاب,538.98799997721,494.251142865263,-0.625931299354188,-0.75202599065585,43.8010184199472,31.6677576354456,0.171311657135025,0.153507207465315,20,15,1,0,15,14,15,15,0,0,1,0.933333333333333,20,15,1,0,15,14,15,15,0,0,1,0.933333333333333,15,14,-44.7368571119474,-0.126094691301663,fa,moon,sun,مهتاب,آفتاب,مهتابآفتاب,کیف
آلت تناسلی,610.548941194946,758.892687483254,-0.320443095392805,0.320878462840462,25.706758328334,68.0309980681543,0.0651875300306652,0.241752881220502,18,16,1,0,17,16,17,16,0,0,1,1,18,16,1,0,17,16,17,16,0,0,1,1,17,16,148.343746288308,0.641321558233267,fa,vagina,penis,واژن,آلت تناسلی,واژنآلت تناسلی,جایگزین کردن
آماده کردن,541.555571387829,673.569599922526,-0.483679528476955,-0.109952015020875,30.8333386711495,65.1977268495379,0.158359101358179,0.231746850276627,7,10,0,1,7,10,7,10,0,0,1,1,7,10,0,1,7,9,7,10,0,0,1,0.9,7,10,132.014028534696,0.37372751345608,fa,ready,prepare,آماده,آماده کردن,آمادهآماده کردن,احتمال
آمدن,529.294888869293,572.027099971706,-0.521547234033604,-0.315546858750877,35.6739210826605,38.9560752972243,0.131956771129299,0.257642290986566,9,11,0,0,9,10,9,10,0,0,1,1,9,11,0,0,9,10,9,10,0,0,1,1,9,10,42.7322111024129,0.206000375282728,fa,arrive,come,رسیدن,آمدن,رسیدنآمدن,فضانورد
آن,787.280789483246,828.504599999987,0.0289868459752643,0.40448106089603,114.701671870626,176.021080536305,0.232916131690386,0.636095323335061,21,5,0,0,19,5,19,5,0,0,1,1,21,5,0,0,17,4,19,5,0,0,0.894736842105263,0.8,19,5,41.2238105167414,0.375494214920765,fa,what,that,چی,آن,چیآن,دی وی دی
آنجا,461.089800034737,752.884928614613,-1.0793371488081,0.254867443983366,43.5623836320872,98.2490164391537,0.189120418606102,0.385520549255005,11,14,0,1,10,14,11,14,0,0,0.909090909090909,1,11,14,0,1,11,14,11,14,0,0,1,1,10,14,291.795128579876,1.33420459279146,fa,here,there,اینجا,آنجا,اینجاآنجا,داوطلب
آهسته,517.988642858501,573.560571214208,-0.852632115217408,-0.540785826306402,40.7453221182709,42.416699088732,0.150754772440185,0.172969826783579,14,15,1,1,14,14,14,14,0,0,1,1,14,15,1,1,14,13,14,14,0,0,1,0.928571428571429,14,14,55.5719283557066,0.311846288911006,fa,slow,fast,آهسته. تدریجی,آهسته,آهسته. تدریجیآهسته,شریف
آژانس,618.300571419192,528.250928654319,-0.362478450004307,-0.646990905623912,72.649220608945,28.0148465260416,0.217007201077785,0.11371790920667,14,14,1,0,14,14,14,14,0,0,1,1,14,14,1,0,14,14,14,14,0,0,1,1,14,14,-90.0496427648737,-0.284512455619606,fa,firm,agency,شرکت,آژانس,شرکتآژانس,راضی
آینه,494.635999993049,527.378615411162,-0.758879904072338,-0.489020021714064,35.8226269439809,43.3561798894347,0.140246093481288,0.222268575176158,10,13,0,2,10,13,10,13,0,2,1,1,10,13,0,2,10,13,10,13,0,2,1,1,10,13,32.7426154181134,0.269859882358275,fa,reflection,mirror,بازتاب,آینه,بازتابآینه,بهار
