target_word_unique,avgRT_related,avgRT_unrelated,avgZ_RT_related,avgZ_RT_unrelated,seRT_related,seRT_unrelated,seZ_RT_related,seZ_RT_unrelated,target_answeredN_related,target_answeredN_unrelated,target_timeoutN_related,target_timeoutN_unrelated,target_correct_keep_related,target_correct_keep_unrelated,target_answeredN_keep_related,target_answeredN_keep_unrelated,target_timeoutN_keep_related,target_timeoutN_keep_unrelated,target_prop_correct_keep_related,target_prop_correct_keep_unrelated,cue_answeredN_related,cue_answeredN_unrelated,cue_timeoutN_related,cue_timeoutN_unrelated,cue_correct_keep_related,cue_correct_keep_unrelated,cue_answeredN_keep_related,cue_answeredN_keep_unrelated,cue_timeoutN_keep_related,cue_timeoutN_keep_unrelated,cue_prop_correct_keep_related,cue_prop_correct_keep_unrelated,target_sample_keep_related,target_sample_keep_unrelated,avgRT_prime,avgZ_prime,language,en_cue,en_target,ur_cue,ur_target,ur_word_combo
اسٹرابیری,882.601214038736,1149.78427274822,-0.146467011762497,0.344075611198941,96.5923315131258,106.545608517493,0.186096526325462,0.237078854091737,34,38,2,1,14,22,15,23,1,0,0.933333333333333,0.956521739130435,35,38,1,1,16,22,16,23,0,0,1,0.956521739130435,14,22,267.183058709479,0.490542622961438,ur,banana,strawberry,کیلا,اسٹرابیری,کیلااسٹرابیری
اسکول,628.334999949526,803.091142861314,-0.702592432559921,-0.344827833568695,45.5896470487306,60.9123066764107,0.122960373828639,0.113979773060805,45,50,1,0,23,35,25,36,0,0,0.92,0.972222222222222,44,49,2,1,24,18,25,35,0,1,0.96,0.514285714285714,23,35,174.756142911787,0.357764598991226,ur,class,school,کلاس,اسکول,کلاساسکول
اسکینڈل,907.328037053951,1051.01489998241,0.0707195770957422,0.189834969966637,58.6751425305117,122.053861843217,0.187933667194271,0.190998921400773,51,40,1,2,27,20,28,20,0,1,0.964285714285714,1,51,41,1,1,26,18,28,21,0,0,0.928571428571429,0.857142857142857,27,20,143.686862928461,0.119115392870895,ur,gossip,scandal,گپ شپ,اسکینڈل,گپ شپاسکینڈل
اشارہ,700.662791649877,704.356749981377,-0.465322888703093,-0.50470216720605,56.6884875992374,40.4856372850768,0.144084789279258,0.101548498553071,40,50,0,1,24,36,24,37,0,0,1,0.972972972972973,40,51,0,0,24,36,24,37,0,0,1,0.972972972972973,24,36,3.6939583314994,-0.0393792785029574,ur,point,indicate,پوائنٹ,اشارہ,پوائنٹاشارہ
اشتراکیت پسند,1413.39645462022,1525.26209092737,1.14715943422658,1.5320456196915,170.660867777162,205.546283508356,0.289534278282546,0.459203981967477,26,26,2,2,11,11,18,16,0,0,0.611111111111111,0.6875,26,28,2,0,17,16,18,16,0,0,0.944444444444444,1,11,11,111.86563630715,0.384886185464923,ur,racist,communist,نسل پرست,اشتراکیت پسند,نسل پرستاشتراکیت پسند
اضافی,644.131700000825,679.592818158798,-0.731189989785271,-0.567994730226578,35.5668320066083,45.5700425400868,0.120479347807283,0.130693443262494,36,42,1,1,20,22,21,23,0,0,0.952380952380952,0.956521739130435,35,42,2,1,18,8,20,23,1,0,0.9,0.347826086956522,20,22,35.4611181579731,0.163195259558693,ur,extra,additional,زائد,اضافی,زائداضافی
اظہار,656.37862068512,611.640058778264,-0.551629375924376,-0.811546268579568,34.7474119992429,47.6371929805018,0.133376058166355,0.117895253106641,45,37,2,1,29,17,29,17,1,0,1,1,45,37,2,1,26,17,29,17,1,0,0.896551724137931,1,29,17,-44.7385619068564,-0.259916892655192,ur,describe,express,بیان,اظہار,بیاناظہار
اعتراف,597.038185233805,692.995347782167,-0.768002223432896,-0.491355736730161,24.9939145516795,58.6479185558877,0.0651429127823076,0.147968207392659,47,48,2,2,27,23,27,24,0,0,1,0.958333333333333,47,48,2,2,24,23,27,24,0,0,0.888888888888889,0.958333333333333,27,23,95.9571625483619,0.276646486702735,ur,admit,confess,تسلیم,اعتراف,تسلیماعتراف
اعتماد,601.442333311801,599.075884639441,-0.844730719446572,-0.806700691364724,46.2449349621589,21.0472877799297,0.0770575061531722,0.0440390892550404,41,41,1,2,24,26,24,27,0,1,1,0.962962962962963,41,42,1,1,23,28,24,28,0,0,0.958333333333333,1,24,26,-2.36644867235941,0.0380300280818481,ur,respect,confidence,احترام,اعتماد,احتراماعتماد
اعلی ترین درجے کا,1013.22477272531,1200.5083333783,0.189510826143046,0.545242160014595,84.5250077076748,123.885343624096,0.166286241430066,0.211560549875106,48,32,2,2,22,18,22,18,0,2,1,1,45,34,5,0,19,12,21,20,1,0,0.904761904761905,0.6,22,18,187.28356065299,0.35573133387155,ur,typical,classic,عمومی درجے کا,اعلی ترین درجے کا,عمومی درجے کااعلی ترین درجے کا
