target_word_unique,avgRT_related,avgRT_unrelated,avgZ_RT_related,avgZ_RT_unrelated,seRT_related,seRT_unrelated,seZ_RT_related,seZ_RT_unrelated,target_answeredN_related,target_answeredN_unrelated,target_timeoutN_related,target_timeoutN_unrelated,target_correct_keep_related,target_correct_keep_unrelated,target_answeredN_keep_related,target_answeredN_keep_unrelated,target_timeoutN_keep_related,target_timeoutN_keep_unrelated,target_prop_correct_keep_related,target_prop_correct_keep_unrelated,cue_answeredN_related,cue_answeredN_unrelated,cue_timeoutN_related,cue_timeoutN_unrelated,cue_correct_keep_related,cue_correct_keep_unrelated,cue_answeredN_keep_related,cue_answeredN_keep_unrelated,cue_timeoutN_keep_related,cue_timeoutN_keep_unrelated,cue_prop_correct_keep_related,cue_prop_correct_keep_unrelated,target_sample_keep_related,target_sample_keep_unrelated,avgRT_prime,avgZ_prime,language,en_cue,en_target,zh_hk_cue,zh_hk_target,zh_hk_word_combo
賣出,653.787833340495,657.041769236335,-0.0595354287123636,-0.2356227924825,58.5055475509433,35.7803823917334,0.231791243987893,0.116380553928269,21,18,1,0,18,13,18,14,0,0,1,0.928571428571429,21,18,1,0,16,14,18,14,0,0,0.888888888888889,1,18,13,3.25393589584007,-0.176087363770136,zh_hk,buy,sell,買入,賣出,買入賣出
贏取,596.354200004786,759.168499991652,-0.619468142679873,0.206228234186013,58.3240520253962,95.17784461094,0.112968873381218,0.335197414877342,15,19,0,2,10,14,10,17,0,0,1,0.823529411764706,15,19,0,2,9,17,10,17,0,0,0.9,1,10,14,162.814299986866,0.825696376865886,zh_hk,gain,win,獲得,贏取,獲得贏取
贏家,703.1486250054,567.145437497558,-0.17285206943972,-0.309397419686638,161.689356874844,39.1884262443452,0.546910962672682,0.184668902863044,11,17,1,0,8,16,9,16,0,0,0.888888888888889,1,12,16,0,1,7,15,9,15,0,1,0.777777777777778,1,8,16,-136.003187507842,-0.136545350246918,zh_hk,loser,winner,輸家,贏家,輸家贏家
贖金,552.500700011078,677.501272734403,-0.45740454629194,-0.183285393377711,22.3769509124514,52.6993346312674,0.0831956483749375,0.152849300519509,15,17,0,1,10,11,10,12,0,1,1,0.916666666666667,15,18,0,0,10,13,10,13,0,0,1,1,10,11,125.000572723325,0.274119152914229,zh_hk,kidnapper,ransom,綁匪,贖金,綁匪贖金
赤裸,626.69371428754,556.422888887318,-0.287893283289312,-0.562735172363606,48.0383433550573,47.1725889513812,0.106025047610714,0.141502697848113,8,14,0,1,7,9,7,10,0,0,1,0.9,8,13,0,2,7,9,7,9,0,1,1,1,7,9,-70.270825400221,-0.274841889074294,zh_hk,nude,naked,裸露,赤裸,裸露赤裸
足球,456.767944441854,660.002636378981,-0.824912383423727,-0.461028509346562,21.7233530106636,115.544425164912,0.0937893222639682,0.221292135823798,19,13,2,0,18,11,18,11,0,0,1,1,19,13,2,0,18,9,18,11,0,0,1,0.818181818181818,18,11,203.234691937126,0.363883874077165,zh_hk,basketball,football,籃球,足球,籃球足球
路徑,504.456866663047,863.48000000029,-0.656832323712906,0.949738210702372,21.8789867504972,162.463669196424,0.107382087282424,0.651700905353738,18,14,0,0,17,10,17,11,0,0,1,0.909090909090909,17,14,1,0,15,5,16,11,1,0,0.9375,0.454545454545455,15,10,359.023133337243,1.60657053441528,zh_hk,route,path,航線,路徑,航線路徑
跳舞,511.375235377018,611.541000010631,-0.692971177733874,-0.542251465716009,27.9580608282841,49.3948329012823,0.0726147171620539,0.134958014695491,21,16,1,0,17,15,17,15,0,0,1,1,21,15,1,1,17,13,17,14,0,1,1,0.928571428571429,17,15,100.165764633613,0.150719712017864,zh_hk,dancer,dance,舞蹈家,跳舞,舞蹈家跳舞
跳躍,514.795416669629,496.298111107019,-0.63287379077865,-0.732624782201525,60.9023411668433,27.0544970405449,0.115048566565401,0.0702600239124048,16,13,0,0,12,9,15,9,0,0,0.8,1,16,13,0,0,15,8,15,9,0,0,1,0.888888888888889,12,9,-18.4973055626096,-0.0997509914228757,zh_hk,climb,jump,爬行,跳躍,爬行跳躍
身體,539.820833331498,592.239000008071,-0.577288213841005,-0.452936648709359,48.3326108419737,62.7057016413595,0.118501532274571,0.19744335680821,15,10,1,0,12,8,12,9,0,0,1,0.888888888888889,15,10,1,0,12,9,12,9,0,0,1,1,12,8,52.4181666765728,0.124351565131646,zh_hk,sexual,physical,性別,身體,性別身體
