target_word_unique,avgRT_related,avgRT_unrelated,avgZ_RT_related,avgZ_RT_unrelated,seRT_related,seRT_unrelated,seZ_RT_related,seZ_RT_unrelated,target_answeredN_related,target_answeredN_unrelated,target_timeoutN_related,target_timeoutN_unrelated,target_correct_keep_related,target_correct_keep_unrelated,target_answeredN_keep_related,target_answeredN_keep_unrelated,target_timeoutN_keep_related,target_timeoutN_keep_unrelated,target_prop_correct_keep_related,target_prop_correct_keep_unrelated,cue_answeredN_related,cue_answeredN_unrelated,cue_timeoutN_related,cue_timeoutN_unrelated,cue_correct_keep_related,cue_correct_keep_unrelated,cue_answeredN_keep_related,cue_answeredN_keep_unrelated,cue_timeoutN_keep_related,cue_timeoutN_keep_unrelated,cue_prop_correct_keep_related,cue_prop_correct_keep_unrelated,target_sample_keep_related,target_sample_keep_unrelated,avgRT_prime,avgZ_prime,language,en_cue,en_target,cs_cue,cs_target,cs_word_combo,unrelated_cs_cue
král,568.91268918927,595.008742422944,-0.835839203851862,-0.731553237861064,18.5091822895855,13.3786495263155,0.0551065971281229,0.0443317443089805,83,71,4,2,74,66,75,66,0,0,0.986666666666667,1,83,71,4,2,74,65,75,66,0,0,0.986666666666667,0.984848484848485,74,66,26.0960532336745,0.104285965990798,cs,queen,king,královna,král,královnakrál,čip
králičí,817.954565202573,929.369777784629,0.00230019091584239,0.448340630737499,41.4605736085897,35.7291279818343,0.114792261303182,0.136026537369801,77,94,3,6,69,72,72,79,2,1,0.958333333333333,0.911392405063291,77,94,3,6,71,78,72,79,2,1,0.986111111111111,0.987341772151899,69,72,111.415212582056,0.446040439821657,cs,fox,rabbit,liška,králičí,liškakráličí,rádio
království,825.876463761989,699.016515148444,0.00398364448560502,-0.409829765471492,42.8456084074243,24.5706969393535,0.120313417594632,0.076298015612568,77,73,2,1,69,66,69,66,0,0,1,1,78,73,1,1,69,66,69,66,0,0,1,1,69,66,-126.859948613544,-0.413813409957097,cs,royal,kingdom,královský,království,královskýkrálovství,navigace
krása,593.187542841932,622.45912306928,-0.718635451239244,-0.670959333592623,20.5631688548799,18.8066471547418,0.079933091125196,0.0561801044572092,76,73,3,6,70,65,70,65,2,4,1,1,76,72,3,7,70,63,70,64,2,5,1,0.984375,70,65,29.2715802273481,0.0476761176466207,cs,charm,beauty,kouzlo,krása,kouzlokrása,rameno
kufr,622.607172039428,626.443969070204,-0.600756735767136,-0.608172846157526,18.3729668242386,15.3240974320254,0.0632409608248915,0.0447217879835733,95,107,3,4,93,97,93,99,1,0,1,0.97979797979798,96,106,2,5,90,98,94,98,0,1,0.957446808510638,1,93,97,3.83679703077519,-0.00741611039038936,cs,briefcase,suitcase,aktovka,kufr,aktovkakufr,společnost
kulka,711.980045463931,735.947676896909,-0.404612740452707,-0.248241400079574,34.1831153072395,22.2201133032354,0.0769744038683321,0.078583057392457,74,74,2,5,66,65,67,68,0,2,0.985074626865672,0.955882352941177,74,74,2,5,50,67,66,68,1,2,0.757575757575758,0.985294117647059,66,65,23.9676314329779,0.156371340373134,cs,caliber,bullet,ráže,kulka,rážekulka,počet
kupující,709.680430774916,724.767085361725,-0.426125220116204,-0.310298251201966,21.0177691963349,25.8907670975986,0.074620429906394,0.0717319013563388,74,90,5,4,65,82,65,85,0,0,1,0.964705882352941,74,90,5,4,64,85,65,85,0,0,0.984615384615385,1,65,82,15.0866545868083,0.115826968914238,cs,seller,buyer,prodejce,kupující,prodejcekupující,odvaha
kus,672.869481016971,694.767371416419,-0.427204141280385,-0.417440336884531,22.9439916383025,21.2886084891881,0.0701757952024463,0.0671203398694755,89,79,3,6,79,71,82,73,1,3,0.963414634146341,0.972602739726027,89,79,3,6,66,73,82,73,1,3,0.804878048780488,1,79,70,21.8978903994475,0.00976380439585445,cs,fragment,piece,fragment,kus,fragmentkus,zkušenost
kvalita,677.494599988942,629.258069432416,-0.471796154847586,-0.670611297673579,21.4833709788622,24.5567541209991,0.0670552180783424,0.0576358043752096,91,76,5,6,85,72,85,72,1,1,1,1,90,75,6,7,76,69,84,71,2,2,0.904761904761905,0.971830985915493,85,72,-48.2365305565257,-0.198815142825993,cs,quantity,quality,kvantita,kvalita,kvantitakvalita,finančně
květina,606.66523530042,645.954999956294,-0.752599419091121,-0.645485320479633,25.0945248232332,23.2097379270575,0.0653249510261143,0.0520528099327546,78,75,1,4,68,68,69,68,0,1,0.985507246376812,1,78,75,1,4,68,65,69,68,0,1,0.985507246376812,0.955882352941177,68,68,39.2897646558739,0.107114098611489,cs,plant,flower,rostlina,květina,rostlinakvětina,motiv
