"word","class","avgRT","avgZ_RT","samplesize","n_answered","seRT","seZ_RT","accuracy","Z2.5_avgRT","Z2.5_avgZ_RT","Z2.5_samplesize","Z2.5_n_answered","Z2.5_seRT","Z2.5_seZ_RT","Z2.5_accuracy","Z3.0_avgRT","Z3.0_avgZ_RT","Z3.0_samplesize","Z3.0_n_answered","Z3.0_seRT","Z3.0_seZ_RT","Z3.0_accuracy"
"contamination","word",893.007546638783,0.848723935577048,847,971,11.9039576928621,0.041961312825443,0.872296601441813,828.38320957566,0.576152127260241,773,773,9.35545851094362,0.0290131973211914,1,846.248505636016,0.64685059013204,799,799,9.79419453889342,0.0312228595456233,1
"conteen","nonword",782.882376811906,0.444222434074031,890,991,9.58830438513253,0.0304023472895832,0.898082744702321,750.486543648615,0.328627580812731,856,856,7.54635333769,0.0233745600298551,1,760.80606815484,0.368333176188625,871,871,7.97373495016345,0.0251255702178636,1
"content","word",616.354196276625,-0.208250571214652,968,990,8.64519503656343,0.0304927378545464,0.977777777777778,590.065787744753,-0.306334649370971,947,947,6.17827725236448,0.0205079583224524,1,597.400184288715,-0.281226157841441,955,955,6.76102881168394,0.0221790252156431,1
"contics","nonword",744.129114990488,0.257981097792326,942,1042,10.1627868370177,0.0304466041365357,0.904030710172745,709.965699146254,0.145512426700287,913,913,7.65182306954564,0.0220568096432478,1,721.734187373448,0.180301268427661,925,925,8.44178085993912,0.0239578382437508,1
"continue","word",547.900168465907,-0.493700908886389,926,944,6.33454177341252,0.0212556110631143,0.98093220338983,540.252293925732,-0.520271300139427,922,922,5.01347551484266,0.0165089185451213,1,540.252293925732,-0.520271300139427,922,922,5.01347551484266,0.0165089185451213,1
"contract","word",621.303073989687,-0.173772532520948,892,907,8.20620541554893,0.0307360905141505,0.983461962513782,600.135836569851,-0.263157773369613,875,875,6.39083565437383,0.0204624927361527,1,601.636950967475,-0.256154511112189,877,877,6.46799788256457,0.021007800780861,1
"contractacy","nonword",1085.92988171541,1.65163589204662,634,993,19.8587042155774,0.0645772037272701,0.638469284994965,881.02130463098,0.90185301089497,476,476,13.232124595051,0.0394848784423195,1,928.15599039621,1.05742633426831,520,520,14.4888721774379,0.0425920881520332,1
"contrary","word",744.977139339284,0.305533879353125,933,1061,11.0021349067443,0.0381398532315072,0.879359095193214,703.109153420451,0.140579662088063,893,893,8.44547470110928,0.0278820196296737,1,712.907370171029,0.174084462981032,905,905,9.00504263417114,0.0291496980625841,1
"control","word",585.474687785102,-0.333987787483989,916,939,7.47857713470326,0.025362462228983,0.975505857294995,570.705359525638,-0.388764843847763,904,904,5.83406745124223,0.0194733681927337,1,575.832859352995,-0.368017290652632,910,910,6.1893503659899,0.0211128117311453,1
"convent","word",752.446174593267,0.319116714231716,905,1022,12.0674717888347,0.0450741327442371,0.885518590998043,684.793473253324,0.03880065496308,841,841,8.29643623583541,0.0280341654795797,1,702.675457810647,0.112663922307401,865,865,8.93341005252859,0.0310628217630295,1
"conversation","word",640.590071994294,-0.102760592043026,1014,1034,7.89365109793011,0.0259924703160344,0.980657640232108,616.716986870269,-0.18954128207578,990,990,6.0366120927387,0.0191943032534559,1,624.405912001608,-0.16061420198085,1000,1000,6.51433224760653,0.0210759307736591,1
"conversavored","nonword",941.337741863951,1.04291451002288,922,987,14.8405653586187,0.0463726831096781,0.934143870314083,807.415623095178,0.574727286725571,788,788,9.33564553878054,0.0271599326282068,1,837.868624544885,0.686506551821471,831,831,10.4215426505987,0.0306623539138119,1
"cook","word",574.812111961705,-0.383734527115037,920,937,7.83944625687259,0.0286537489959632,0.981856990394877,553.493971244161,-0.468326245227631,904,904,5.49946841563973,0.0182785185617433,1,557.803735687954,-0.453911780452966,908,908,5.93425625060502,0.0195728982215467,1
"cool","word",549.809597368025,-0.483846151970626,909,945,7.27507739221561,0.0241419499363206,0.961904761904762,537.429008897275,-0.52576550230823,900,900,5.88313754445718,0.0198252733264962,1,539.428379165795,-0.518330976710658,902,902,6.03813059434546,0.0204671839125067,1
"cooth","nonword",731.39776885652,0.256671671053866,822,967,10.1869473643935,0.0361785799002833,0.85005170630817,695.702597989699,0.121909358349371,796,796,6.97601963909589,0.0227407133724312,1,700.54601997473,0.13800678930446,801,801,7.38949375375487,0.0237147425203949,1
"copy","word",575.725811931448,-0.386522405983156,989,1017,6.96169536584711,0.0248660152729691,0.972468043264503,560.534621927098,-0.446414986550451,976,976,5.27813132256688,0.0180305158918635,1,563.951121428634,-0.43353080807899,980,980,5.54825532306042,0.0190762904777887,1
"corhin","nonword",626.403460755562,-0.212542035397163,981,1020,7.34881089526943,0.0233119484550958,0.961764705882353,615.845243828398,-0.253269601747418,972,972,6.26335006670834,0.0184524423735099,1,618.045931283295,-0.244005054624672,975,975,6.37594007548607,0.0191581363671052,1
"corner","word",642.085347496502,-0.105249323480028,918,959,8.99874125833677,0.0335402953088418,0.957247132429614,612.713369129304,-0.229593542537061,894,894,6.35478277707032,0.0211682439351809,1,613.797673357425,-0.219812264567941,897,897,6.37787415417036,0.0218396968549483,1
"corolberry","nonword",741.77736354082,0.229608474840964,927,976,10.5868586570843,0.0321546701434145,0.949795081967213,700.952883541203,0.0942513677197622,893,893,7.71835789814659,0.0220129264608885,1,711.251664090769,0.129355549317785,905,905,8.18704937614358,0.0239482946270852,1
"corporaphers","nonword",860.684083240099,0.760724510758782,877,928,14.3262119959648,0.0498578921799331,0.945043103448276,751.05379639364,0.340313125007695,776,776,9.44410397763214,0.0288311610593823,1,767.224113894498,0.409119313619331,799,799,9.88671210304154,0.0313828826712516,1
"corporation","word",726.898760746198,0.228067033713476,907,956,10.3668856860235,0.0344483087987908,0.948744769874477,683.070439442228,0.06886209782472,867,867,7.35902618343423,0.0242623658042615,1,694.165103405606,0.10980087928244,880,880,8.04260646064829,0.0264355333125529,1
"corpse","word",671.433573205192,-0.000971955274744406,963,1040,8.22157700607995,0.0277020151317566,0.925961538461539,653.420062364556,-0.0712029601497456,946,946,6.91288316686008,0.0215293674001391,1,656.299517891411,-0.0598117380034087,950,950,7.04121279565928,0.0221820850909938,1
"correct","word",562.178028648725,-0.414188505090056,977,991,7.79346961547728,0.0297311594770371,0.985872855701312,540.447685733747,-0.504146986097603,961,961,5.48092984665576,0.0186456879053676,1,540.447685733747,-0.504146986097603,961,961,5.48092984665576,0.0186456879053676,1
"corroll","nonword",762.813584541725,0.362346757654864,828,943,11.8087300667759,0.0363302394650112,0.878048780487805,711.897170265943,0.196541186627556,787,787,8.47222820299705,0.0264842344327634,1,725.087861248942,0.237446243490141,800,800,9.35452116026711,0.0283915114469493,1
